,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
1,2020/081 22:44:11.869,3166,217,759,1,A79C0 00000 00001,2020/081 22:44:11.869,0,406062420.5,0,2.861,41.072,43.665,1.254,0.246,0,78,0,400.037,FFFE2F 53CE00 000000 000D14 8E508E 32A51A
2,2020/081 22:43:19.658,3166,217,759,1,A79C0 00000 00001,2020/081 22:43:19.658,0,406062420.3,0,2.861,40.647,43.005,1.261,0.265,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E5094 AA9D74
3,2020/081 22:40:50.888,3166,217,759,1,A79C0 00000 00001,2020/081 22:40:50.888,0,406062420.8,0,2.861,30.989,32.629,1.289,0.287,0,79,0,399.929,FFFE2F 53CE00 000000 000D14 8E50D4 513003
4,2020/081 22:40:00.069,3166,217,759,1,A79C0 00000 00001,2020/081 22:40:00.069,0,406062420,0,2.861,37.101,39.103,1.289,0.323,0,78,0,399.945,FFFE2F 53CE00 000000 000D14 8E50A9 FABE4F
5,2020/081 22:39:10.201,3166,217,759,1,A79C0 00000 00001,2020/081 22:39:10.201,0,406062419.6,0,2.861,40.001,37.746,1.341,0.31,0,5004,1,399.683,FFF62F 53CE00 000000 000D14 8E5051 69A88A
6,2020/081 22:38:19.999,3166,217,759,1,A79C0 00000 00001,2020/081 22:38:19.999,0,406062419.2,0,5.722,35.759,37.136,1.3,0.176,0,4999,3,400.068,FFFE28 53CE00 000000 000D14 8E50E5 F22951
7,2020/081 22:37:29.557,3166,217,759,1,A79C0 00000 00001,2020/081 22:37:29.557,0,406062420.3,0,2.861,36.328,37.8,1.285,0.338,0,4999,0,400.099,FFFE2F 53CE00 000000 000D14 8E5003 063A39
8,2020/081 22:36:38.783,3166,217,759,1,A79C0 00000 00001,2020/081 22:36:38.783,0,406062419.6,0,3.815,34.87,38.033,1.298,0.234,0,78,0,400.006,FFFE2F 53CE00 000000 000D14 8E5023 50B21C
9,2020/081 22:35:48.248,3166,217,759,1,A79C0 00000 00001,2020/081 22:35:48.248,0,406062420.5,0,2.861,35.562,37.493,1.293,0.335,0,5000,0,399.945,FFFE2F 53CE00 000000 000D14 8E5171 E12285
10,2020/081 22:34:56.809,3166,217,759,1,A79C0 00000 00001,2020/081 22:34:56.809,0,406062420.6,0,2.861,34.299,35.909,1.294,0.348,0,5002,0,399.868,FFFE2F 53CE00 000000 000D14 8E50D6 892989
11,2020/081 22:34:05.657,3166,217,759,1,A79C0 00000 00001,2020/081 22:34:05.657,0,406062420.5,0,2.861,35.283,38.661,1.295,0.334,0,78,0,400.052,FFFE2F 53CE00 000000 000D14 8E50D5 0EA4EA
12,2020/081 22:33:16.860,3166,217,759,1,A79C0 00000 00001,2020/081 22:33:16.860,0,406062420,0,5.722,36.065,38.126,1.304,0.209,0,78,0,400.022,FFFE2F 53CE00 000000 000D14 8E5060 B2EEC8
13,2020/081 22:32:27.311,3166,217,759,1,A79C0 00000 00001,2020/081 22:32:27.311,0,406062421.5,0,2.861,37.632,39.861,1.273,0.312,0,3125,0,400.037,FFFE2F 53CE00 000000 000D14 8E5071 95BD1A
14,2020/081 22:31:37.789,3166,217,759,1,A79C0 00000 00001,2020/081 22:31:37.789,0,406062421.9,0,2.861,38.02,39.566,1.274,0.307,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E503E 6E110B
15,2020/081 22:30:46.665,3166,217,759,1,A79C0 00000 00001,2020/081 22:30:46.665,0,406062422.1,0,2.861,39.42,41.744,1.265,0.286,0,77,0,400.022,FFFE2F 53CE00 000000 000D14 8E5075 00D7B8
16,2020/081 22:29:57.882,3166,217,759,1,A79C0 00000 00001,2020/081 22:29:57.882,0,406062423.1,0,2.861,39.516,41.502,1.266,0.278,0,5001,0,400.022,FFFE2F 53CE00 000000 000D14 8E5055 81FC60
17,2020/081 22:29:08.101,3166,217,759,1,A79C0 00000 00001,2020/081 22:29:08.101,0,406062423.8,0,2.861,40.144,42.504,1.299,0.262,1,5000,3,400.022,F8FE2F 53CE00 000000 000D14 8E50AF EAFE77
18,2020/081 22:28:19.321,3166,217,759,1,A79C0 00000 00001,2020/081 22:28:19.321,0,406062424.8,0,2.861,41.252,43.53,1.255,0.272,0,78,0,400.052,FFFE2F 53CE00 000000 000D14 8E50EC 0BF293
