,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
1,2020/081 22:44:11.868,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:44:11.868,0,406034220.711,0.000,2.861,40.066,41.785,1.257,0.262,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E506A 64BB3D
2,2020/081 22:43:19.657,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:43:19.657,0,406034220.641,0.000,2.861,40.830,41.927,1.251,0.238,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E500B AC9E8C
3,2020/081 22:40:50.888,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:40:50.888,0,406034221.336,0.000,2.861,41.251,42.597,1.279,0.249,0,5000,0,400.022,FFFE2F 53CE00 070000 000D14 8E500F C05C25
4,2020/081 22:40:00.069,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:40:00.069,0,406034220.656,0.000,2.861,41.451,42.547,1.254,0.273,0,5001,0,399.991,FFFE2F 53CE00 000000 000D14 8E5093 7BABEF
5,2020/081 22:39:10.201,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:39:10.201,0,406034221.000,0.000,2.861,41.010,42.522,1.252,0.275,0,4999,0,400.052,FFFE2F 53CE00 000000 000D14 8E5044 3EE317
6,2020/081 22:38:19.998,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:38:19.998,0,406034220.789,0.000,2.861,40.664,42.525,1.260,0.268,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8E50E2 4FB997
7,2020/081 22:37:29.557,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:37:29.557,0,406034221.547,0.000,2.861,41.108,42.705,1.248,0.237,0,4999,0,400.068,FFFE2F 53CE00 000000 000D14 8E5002 6DF676
8,2020/081 22:36:38.783,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:36:38.783,0,406034221.430,0.000,2.861,38.644,40.243,1.263,0.296,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E50D5 D6B8FF
9,2020/081 22:35:48.246,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:35:48.246,0,406034953.789,0.000,2.861,39.727,40.803,1.268,0.289,0,4974,0,401.846,FFFE2F 53CE00 000000 000D14 8E50B6 5A66A4
10,2020/081 22:34:56.808,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:34:56.808,0,406034420.688,0.000,3.815,42.340,45.764,1.248,0.211,0,78,0,400.484,FFFE2F 53CE00 000000 000D14 8E50D3 04C9FE
11,2020/081 22:33:16.860,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:33:16.860,0,406034222.352,0.000,2.861,39.863,41.285,1.261,0.267,0,4999,0,400.068,FFFE2F 53CE00 000000 000D14 8E50E0 F3F04D
12,2020/081 22:32:27.310,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:32:27.310,0,406034222.641,0.000,2.861,40.666,42.908,1.252,0.259,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50D3 C81C33
13,2020/081 22:31:37.789,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:31:37.789,0,406034222.898,0.000,2.861,41.083,42.974,1.250,0.248,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50A2 FF6001
14,2020/081 22:30:46.664,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:30:46.664,0,406034222.695,0.000,2.861,40.593,42.237,1.252,0.265,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8A50FF 2360FB
15,2020/081 22:29:57.882,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:29:57.882,0,406034223.352,0.000,2.861,40.778,42.811,1.254,0.248,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5060 7EE54F
16,2020/081 22:29:08.100,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:29:08.100,0,406034223.570,0.000,2.861,40.189,41.595,1.257,0.271,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E5029 4662DC
17,2020/081 22:28:19.320,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:28:19.320,0,406034224.000,0.000,2.861,40.118,41.532,1.278,0.256,0,5001,0,399.960,FFFE2F 536E00 000000 000D14 8E5000 11D59A
18,2020/081 22:27:30.849,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:27:30.849,0,406034223.883,0.000,2.861,41.499,42.963,1.257,0.269,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E500D 75FA39
19,2020/081 22:26:38.739,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:26:38.739,0,406034956.250,0.000,2.861,41.224,42.878,1.252,0.244,0,4974,0,401.877,FFFE2F 53CE00 000000 000D14 8E5028 EDF5CE
20,2020/081 22:25:47.981,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:25:47.981,0,406034223.102,0.000,2.861,40.314,42.640,1.254,0.282,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E500F CC7C3B
21,2020/081 22:19:56.108,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:19:56.108,0,406034223.227,0.000,2.861,40.403,42.364,1.252,0.254,0,4999,0,400.037,FFFE2F 53CE00 000000 000D14 8E5026 13BDD4
22,2020/081 22:19:07.656,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:19:07.656,0,406034223.234,0.000,2.861,41.254,42.592,1.250,0.260,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8E507C C70E58
23,2020/081 22:18:16.494,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:18:16.494,0,406034223.477,0.000,2.861,40.971,42.265,1.251,0.250,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50FE E141B3
24,2020/081 22:17:27.382,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:17:27.382,0,406034223.430,0.000,2.861,41.443,43.004,1.248,0.245,0,5001,0,399.991,FFFE2F 53CE00 000000 000D14 8E50B1 DC5BCB
25,2020/081 22:16:37.533,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:16:37.533,0,406034223.914,0.000,2.861,41.437,42.611,1.252,0.253,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8F5034 439114
26,2020/081 22:15:49.028,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:15:49.028,0,406034223.531,0.000,2.861,40.975,42.497,1.257,0.266,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50FF A6D65F
27,2020/081 22:14:08.448,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:14:08.448,0,406034223.453,0.000,2.861,41.482,43.324,1.246,0.230,0,5000,0,399.975,FFFE2F 53CE00 000000 000D14 8E50AB AF5B2D
28,2020/081 22:13:18.964,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:13:18.964,0,406034223.391,0.000,2.861,41.463,42.961,1.251,0.246,0,5001,0,399.975,FFFE2F 53CE00 000000 000D14 8E5094 747B9A
29,2020/081 22:12:30.545,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:12:30.545,0,406034223.422,0.000,2.861,39.912,41.685,1.253,0.262,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E50F5 D26202
30,2020/081 22:11:41.083,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:11:41.083,0,406034422.492,0.000,2.861,41.774,42.934,1.259,0.282,0,4992,0,400.530,FFFE2F 53CE00 000000 000D14 8E5082 687805
31,2020/081 22:10:50.234,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:10:50.234,0,406034223.336,0.000,2.861,40.475,41.585,1.258,0.239,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E5086 76C7B0
32,2020/081 22:09:58.731,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:09:58.731,0,406034223.664,0.000,2.861,40.319,42.073,1.255,0.235,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E5098 0F35A2
33,2020/081 22:09:08.237,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:09:08.237,0,406034223.859,0.000,2.861,40.159,41.687,1.281,0.250,0,5000,0,400.022,FFFE2F 53CE00 000380 000D14 8E5088 B6C725
34,2020/081 22:08:18.365,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:08:18.365,0,406034223.711,0.000,2.861,41.206,43.193,1.252,0.242,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E5028 9EC999
35,2020/081 22:06:36.967,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:06:36.967,0,406034224.438,0.000,2.861,40.536,42.701,1.247,0.253,0,5000,0,400.006,FFFE2F 53CE00 000000 000D14 8E507D F7DECB
36,2020/081 22:05:49.139,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:05:49.139,0,406034224.430,0.000,2.861,41.141,42.598,1.251,0.271,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50C7 315A44
37,2020/081 22:04:58.263,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:04:58.263,0,406034224.453,0.000,2.861,40.863,42.291,1.254,0.271,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8FD0F2 78E6E4
38,2020/081 22:04:08.367,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:04:08.367,0,406034224.781,0.000,2.861,40.128,41.966,1.253,0.267,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E505D 80B141
39,2020/081 22:03:16.907,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:03:16.907,0,406034423.781,0.000,2.861,39.757,41.108,1.261,0.289,0,4993,0,400.422,FFFE2F 53CE00 000000 000D14 8E6FCF A2AA77
40,2020/081 22:01:35.263,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:01:35.263,0,406034225.164,0.000,2.861,40.514,39.657,1.256,0.266,0,5001,0,399.960,FFFE2F 53CE00 000000 000D14 8E50FD 42C90F
41,2020/081 22:00:45.155,3169,216,1226,0001,A79C0 00000 00001,2020/081 22:00:45.155,0,406034225.148,0.000,3.815,41.051,41.270,1.250,0.157,0,78,0,399.975,FFFE2F 53CE00 000000 000D14 8E50A4 32530B
42,2020/081 21:59:56.618,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:59:56.618,0,406034225.039,0.000,2.861,41.304,42.812,1.257,0.260,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E506F 47AF90
43,2020/081 21:54:12.592,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:54:12.592,0,406034227.570,0.000,2.861,39.939,41.751,1.260,0.274,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E508A EFDA58
44,2020/081 21:53:23.382,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:53:23.382,0,406034228.031,0.000,2.861,41.240,42.556,1.253,0.239,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E505E 936D64
45,2020/081 21:52:33.627,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:52:33.627,0,406034228.055,0.000,2.861,39.767,41.367,1.256,0.251,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5021 D0F3DA
46,2020/081 21:51:44.170,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:51:44.170,0,406034228.273,0.000,2.861,41.102,42.763,1.252,0.259,0,4999,0,400.037,FFFE2F 53CE00 000000 000D14 8E50FA AAFB6B
47,2020/081 21:50:54.385,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:50:54.385,0,406034228.320,0.000,2.861,41.996,43.206,1.279,0.234,0,4531,0,399.960,FFFE2F 53CE00 000000 000D14 8E506C 3205D6
48,2020/081 21:49:14.149,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:49:14.149,0,406034228.672,0.000,2.861,41.297,42.584,1.283,0.272,0,5000,0,399.991,FFFE2F 538E00 000000 000D14 8E500B 7D196D
49,2020/081 21:48:23.355,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:48:23.355,0,406034229.141,0.000,2.861,41.048,42.698,1.255,0.268,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E5019 B5FBFA
50,2020/081 21:47:33.186,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:47:33.186,0,406033962.734,0.000,2.861,40.742,42.463,1.261,0.264,0,5010,0,399.315,FFFE2F 53CE00 000000 000D14 8E50F9 6ED145
51,2020/081 21:46:45.315,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:46:45.315,0,406034229.289,0.000,2.861,41.083,41.851,1.255,0.258,0,4999,0,400.022,FFFE2F 53CE00 000000 000D14 8E501F F64F28
52,2020/081 21:45:55.795,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:45:55.795,0,406034229.477,0.000,2.861,40.805,43.291,1.254,0.254,0,5001,0,400.022,FFFE2F 53CE00 000000 000D14 8E5008 40BEC8
53,2020/081 21:45:07.665,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:45:07.665,0,406034229.617,0.000,2.861,41.175,42.576,1.253,0.253,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50D6 A6485C
54,2020/081 21:44:19.189,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:44:19.189,0,406034229.984,0.000,3.815,40.572,42.446,1.280,0.167,0,78,3,400.022,FC7E2F 53CE00 000000 000D14 8E5004 082C1B
55,2020/081 21:42:36.895,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:42:36.895,0,406034230.344,0.000,2.861,39.421,42.069,1.260,0.245,0,5000,0,399.991,FFFE2F 53CE00 000000 000D14 8E5055 33C475
